version,n,threads,rep,time_s,gflops
v5_blocked_NB96,4000,64,3,0.159502,133.7500
v5_blocked_NB96,4000,76,1,0.149345,142.8462
v5_blocked_NB96,4000,76,2,0.147152,144.9752
v5_blocked_NB96,4000,76,3,0.145081,147.0444
v5_blocked_NB96,6000,1,1,28.524298,2.5242
v5_blocked_NB96,6000,1,2,28.525725,2.5240
v5_blocked_NB96,6000,1,3,28.524423,2.5242
v5_blocked_NB96,6000,2,1,14.347809,5.0182
v5_blocked_NB96,6000,2,2,14.348771,5.0179
v5_blocked_NB96,6000,2,3,14.342359,5.0201
v5_blocked_NB96,6000,4,1,7.105587,10.1329
v5_blocked_NB96,6000,4,2,7.108477,10.1288
v5_blocked_NB96,6000,4,3,7.107096,10.1307
v5_blocked_NB96,6000,8,1,3.596368,20.0202
v5_blocked_NB96,6000,8,2,3.591269,20.0486
v5_blocked_NB96,6000,8,3,3.592385,20.0424
v5_blocked_NB96,6000,16,1,1.810994,39.7572
v5_blocked_NB96,6000,16,2,1.809905,39.7811
v5_blocked_NB96,6000,16,3,1.810552,39.7669
v5_blocked_NB96,6000,32,1,0.926236,77.7340
v5_blocked_NB96,6000,32,2,0.925991,77.7545
v5_blocked_NB96,6000,32,3,0.925251,77.8167
v5_blocked_NB96,6000,48,1,0.640592,112.3961
v5_blocked_NB96,6000,48,2,0.643092,111.9590
v5_blocked_NB96,6000,48,3,0.643917,111.8156
v5_blocked_NB96,6000,64,1,0.531368,135.4994
v5_blocked_NB96,6000,64,2,0.537162,134.0379
v5_blocked_NB96,6000,64,3,0.535653,134.4153
v5_blocked_NB96,6000,76,1,0.480682,149.7871
v5_blocked_NB96,6000,76,2,0.493307,145.9536
v5_blocked_NB96,6000,76,3,0.494838,145.5023
v5_blocked_NB96,8000,1,1,69.025789,2.4725
v5_blocked_NB96,8000,1,2,69.008205,2.4731
v5_blocked_NB96,8000,1,3,68.992849,2.4737
v5_blocked_NB96,8000,2,1,34.577126,4.9358
