version,n,threads,rep,time_s,gflops
v3_openmp,6000,1,1,43.356822,1.6606
v3_openmp,6000,1,2,42.570569,1.6913
v3_openmp,6000,1,3,42.632995,1.6888
v3_openmp,6000,2,1,26.052103,2.7637
v3_openmp,6000,2,2,22.807463,3.1569
v3_openmp,6000,2,3,22.952364,3.1369
v3_openmp,6000,4,1,12.208111,5.8977
v3_openmp,6000,4,2,12.219714,5.8921
v3_openmp,6000,4,3,12.236654,5.8840
v3_openmp,6000,8,1,6.960529,10.3440
v3_openmp,6000,8,2,6.957066,10.3492
v3_openmp,6000,8,3,6.955250,10.3519
v3_openmp,6000,16,1,5.076506,14.1830
v3_openmp,6000,16,2,5.077193,14.1811
v3_openmp,6000,16,3,5.076305,14.1835
v3_openmp,6000,32,1,3.992705,18.0329
v3_openmp,6000,32,2,3.992568,18.0335
v3_openmp,6000,32,3,3.994526,18.0247
v3_openmp,6000,48,1,3.480441,20.6870
v3_openmp,6000,48,2,3.474041,20.7251
v3_openmp,6000,48,3,3.474574,20.7220
v3_openmp,6000,64,1,3.017600,23.8600
v3_openmp,6000,64,2,3.023820,23.8109
v3_openmp,6000,64,3,3.002856,23.9772
v3_openmp,6000,76,1,2.731939,26.3549
v3_openmp,6000,76,2,2.729777,26.3758
v3_openmp,6000,76,3,2.736993,26.3062
