version,n,threads,rep,time_s,gflops
v1_baseline,500,1,1,0.167091,0.2494
v1_baseline,500,1,2,0.166790,0.2498
v1_baseline,500,1,3,0.166797,0.2498
v1_baseline,1000,1,1,1.304058,0.2556
v1_baseline,1000,1,2,1.303791,0.2557
v1_baseline,1000,1,3,1.303508,0.2557
v1_baseline,2000,1,1,10.217189,0.2610
v1_baseline,2000,1,2,10.209960,0.2612
v1_baseline,2000,1,3,10.214802,0.2611
v2_serial_opt,500,1,1,0.010275,4.0550
v2_serial_opt,500,1,2,0.010227,4.0741
v2_serial_opt,500,1,3,0.010202,4.0842
v2_serial_opt,1000,1,1,0.094486,3.5279
v2_serial_opt,1000,1,2,0.094341,3.5333
v2_serial_opt,1000,1,3,0.094252,3.5366
v2_serial_opt,2000,1,1,0.765475,3.4837
v2_serial_opt,2000,1,2,0.763086,3.4946
v2_serial_opt,2000,1,3,0.763091,3.4946
v2_serial_opt,4000,1,1,10.311408,2.0689
v2_serial_opt,4000,1,2,10.174379,2.0968
v2_serial_opt,4000,1,3,10.224722,2.0864
v2_serial_opt,6000,1,1,41.227379,1.7464
v2_serial_opt,6000,1,2,41.182409,1.7483
v2_serial_opt,6000,1,3,41.135461,1.7503
