Working directory: /home/bk489/C2/C2_Coursework
rm -f src/*.o lib/libcholesky.a example/example test/test_correctness test/benchmark
rm -rf lib/
gcc -Wall -Wextra -std=gnu11 -I include -O3 -march=native -ffast-math -fopenmp -c src/cholesky_v3_openmp.c -o src/cholesky_v3_openmp.o
mkdir -p lib
ar rcs lib/libcholesky.a src/cholesky_v3_openmp.o
gcc -Wall -Wextra -std=gnu11 -I include -O3 -march=native -ffast-math -fopenmp test/benchmark.c -Llib -lcholesky -lm -o test/benchmark
rm -f src/*.o lib/libcholesky.a example/example test/test_correctness test/benchmark
rm -rf lib/
gcc -Wall -Wextra -std=gnu11 -I include -O3 -march=native -ffast-math -fopenmp -DBLOCK_NB=128 -c src/cholesky_v5_openmp_blocked.c -o src/cholesky_v5_openmp_blocked.o
mkdir -p lib
ar rcs lib/libcholesky.a src/cholesky_v5_openmp_blocked.o
gcc -Wall -Wextra -std=gnu11 -I include -O3 -march=native -ffast-math -fopenmp -DBLOCK_NB=128 test/benchmark.c -Llib -lcholesky -lm -o test/benchmark
Done. Results in results/csd3_scaling.csv
version,n,threads,rep,time_s,gflops
v3_openmp,2000,1,1,0.864100,3.0861
v3_openmp,2000,1,2,0.845697,3.1532
v3_openmp,2000,1,3,0.845848,3.1527
v3_openmp,2000,2,1,0.472323,5.6458
v3_openmp,2000,2,2,0.474826,5.6161
v3_openmp,2000,2,3,0.474193,5.6236
v3_openmp,2000,4,1,0.250028,10.6655
v3_openmp,2000,4,2,0.250351,10.6517
v3_openmp,2000,4,3,0.250005,10.6664
v3_openmp,2000,8,1,0.137382,19.4106
v3_openmp,2000,8,2,0.138109,19.3085
v3_openmp,2000,8,3,0.140354,18.9996
v3_openmp,2000,16,1,0.089165,29.9071
v3_openmp,2000,16,2,0.089028,29.9530
v3_openmp,2000,16,3,0.089410,29.8252
v3_openmp,2000,32,1,0.060218,44.2834
v3_openmp,2000,32,2,0.059944,44.4859
v3_openmp,2000,32,3,0.059790,44.6007
v3_openmp,2000,48,1,0.055246,48.2691
v3_openmp,2000,48,2,0.054041,49.3452
v3_openmp,2000,48,3,0.054220,49.1822
v3_openmp,2000,64,1,0.061430,43.4097
v3_openmp,2000,64,2,0.060442,44.1195
v3_openmp,2000,64,3,0.060603,44.0020
v3_openmp,2000,76,1,0.071849,37.1149
v3_openmp,2000,76,2,0.070500,37.8249
v3_openmp,2000,76,3,0.070102,38.0400
v3_openmp,4000,1,1,10.380380,2.0552
v3_openmp,4000,1,2,10.260248,2.0792
v3_openmp,4000,1,3,10.230899,2.0852
v3_openmp,4000,2,1,4.201713,5.0773
v3_openmp,4000,2,2,4.173975,5.1110
v3_openmp,4000,2,3,4.164659,5.1225
v3_openmp,4000,4,1,2.231691,9.5593
v3_openmp,4000,4,2,2.226403,9.5820
v3_openmp,4000,4,3,2.228600,9.5725
v3_openmp,4000,8,1,1.211459,17.6096
v3_openmp,4000,8,2,1.212157,17.5995
v3_openmp,4000,8,3,1.209839,17.6332
v3_openmp,4000,16,1,0.788503,27.0555
v3_openmp,4000,16,2,0.789878,27.0084
v3_openmp,4000,16,3,0.789794,27.0113
v3_openmp,4000,32,1,0.445516,47.8845
v3_openmp,4000,32,2,0.444708,47.9716
v3_openmp,4000,32,3,0.442416,48.2200
v3_openmp,4000,48,1,0.346813,61.5125
v3_openmp,4000,48,2,0.346864,61.5035
v3_openmp,4000,48,3,0.346590,61.5521
v3_openmp,4000,64,1,0.322200,66.2115
v3_openmp,4000,64,2,0.317483,67.1952
v3_openmp,4000,64,3,0.322058,66.2407
v3_openmp,4000,76,1,0.307932,69.2794
v3_openmp,4000,76,2,0.305573,69.8142
v3_openmp,4000,76,3,0.307226,69.4386
v5_blocked_NB128,2000,1,1,0.904951,2.9468
v5_blocked_NB128,2000,1,2,0.905800,2.9440
v5_blocked_NB128,2000,1,3,0.906259,2.9425
v5_blocked_NB128,2000,2,1,0.470313,5.6700
v5_blocked_NB128,2000,2,2,0.469867,5.6754
v5_blocked_NB128,2000,2,3,0.470141,5.6721
v5_blocked_NB128,2000,4,1,0.241346,11.0491
v5_blocked_NB128,2000,4,2,0.240537,11.0863
v5_blocked_NB128,2000,4,3,0.239840,11.1185
v5_blocked_NB128,2000,8,1,0.126647,21.0558
v5_blocked_NB128,2000,8,2,0.125983,21.1669
v5_blocked_NB128,2000,8,3,0.126650,21.0555
v5_blocked_NB128,2000,16,1,0.072812,36.6239
v5_blocked_NB128,2000,16,2,0.071529,37.2808
v5_blocked_NB128,2000,16,3,0.071014,37.5511
v5_blocked_NB128,2000,32,1,0.043655,61.0847
v5_blocked_NB128,2000,32,2,0.042670,62.4945
v5_blocked_NB128,2000,32,3,0.042308,63.0297
v5_blocked_NB128,2000,48,1,0.036187,73.6910
v5_blocked_NB128,2000,48,2,0.034698,76.8535
v5_blocked_NB128,2000,48,3,0.033224,80.2622
v5_blocked_NB128,2000,64,1,0.031740,84.0153
v5_blocked_NB128,2000,64,2,0.030201,88.2976
v5_blocked_NB128,2000,64,3,0.030223,88.2321
v5_blocked_NB128,2000,76,1,0.030327,87.9310
v5_blocked_NB128,2000,76,2,0.028572,93.3322
v5_blocked_NB128,2000,76,3,0.028674,92.9996
v5_blocked_NB128,4000,1,1,8.142851,2.6199
v5_blocked_NB128,4000,1,2,8.148455,2.6181
v5_blocked_NB128,4000,1,3,8.149070,2.6179
v5_blocked_NB128,4000,2,1,4.146929,5.1444
v5_blocked_NB128,4000,2,2,4.151240,5.1390
v5_blocked_NB128,4000,2,3,4.149227,5.1415
v5_blocked_NB128,4000,4,1,2.066010,10.3259
v5_blocked_NB128,4000,4,2,2.063635,10.3377
v5_blocked_NB128,4000,4,3,2.064494,10.3334
v5_blocked_NB128,4000,8,1,1.055439,20.2128
v5_blocked_NB128,4000,8,2,1.055766,20.2065
v5_blocked_NB128,4000,8,3,1.052262,20.2738
v5_blocked_NB128,4000,16,1,0.581579,36.6817
v5_blocked_NB128,4000,16,2,0.581158,36.7083
v5_blocked_NB128,4000,16,3,0.581517,36.6857
v5_blocked_NB128,4000,32,1,0.313329,68.0860
v5_blocked_NB128,4000,32,2,0.312599,68.2451
v5_blocked_NB128,4000,32,3,0.311460,68.4947
v5_blocked_NB128,4000,48,1,0.231637,92.0982
v5_blocked_NB128,4000,48,2,0.229381,93.0039
v5_blocked_NB128,4000,48,3,0.229484,92.9621
v5_blocked_NB128,4000,64,1,0.194489,109.6889
v5_blocked_NB128,4000,64,2,0.194384,109.7486
v5_blocked_NB128,4000,64,3,0.193133,110.4593
v5_blocked_NB128,4000,76,1,0.186924,114.1286
v5_blocked_NB128,4000,76,2,0.181021,117.8498
v5_blocked_NB128,4000,76,3,0.186097,114.6354
